30,10,8.6077,35.147,1.3188,81
30,20,4.3016,8.4357,0.37113,19.243
30,30,2.8642,3.9252,0.1878,7.8159
30,40,2.161,2.0564,0.1123,4.2412
30,50,1.7257,1.3776,0.074815,2.4902
30,60,1.4412,0.47423,0.055054,1.6291
30,70,1.2349,0.34316,0.043112,1.2438
30,80,1.0815,0.26404,0.028409,0.91464
30,90,0.9596,0.20893,0.023806,0.71891
30,100,0.96554,0.17371,0.028514,0.60113
100,10,8.5961,35.148,1.3199,353.63
100,20,4.2963,8.3696,0.37142,84.948
100,30,2.8648,4.0838,0.18746,36.305
100,40,2.1492,2.0383,0.11209,19.428
100,50,1.7347,1.421,0.07461,11.857
100,60,1.4377,0.4753,0.054922,7.9914
100,70,1.2361,0.34317,0.043067,5.6753
100,80,1.0775,0.26388,0.028485,4.2194
100,90,0.96006,0.20865,0.023592,3.2162
100,100,0.86121,0.16952,0.019993,2.5237
320,10,8.8762,53.472,1.6332,2853.5
320,20,6.0402,11.337,0.40155,662.39
320,30,4.2589,5.6442,0.1985,260.25
320,40,3.1737,2.8288,0.11386,127.44
320,50,1.7447,1.4851,0.075193,68.933
320,60,1.8854,0.75802,0.061742,41.823
320,70,1.2461,0.36079,0.043121,22.95
320,80,1.0842,0.26415,0.028599,13.413
320,90,0.96163,0.20964,0.023825,7.203
320,100,0.8666,0.16946,0.019987,3.116
