30,1,625.78,1175.1,1e-05,2088.2,174.59
30,2,209.54,77.361,1.6e-05,397.64,95.929
30,3,121.14,68.311,2.4e-05,15.396,68.303
30,4,72.803,53.911,1.7e-05,8.5456,45.958
30,5,165.06,49.436,1.3e-05,6.6348,32.827
30,6,87.092,50.832,2.6e-05,5.1002,30.236
30,7,220.23,38.864,1.3e-05,3.7338,33.32
30,8,187.72,39.537,1.4e-05,2.8884,31.424
30,9,211.2,50.245,3.9e-05,6.1863,29.876
30,10,200.81,47.286,0.000446,4.5017,23.876
100,1,664.05,997.46,8e-06,2050.3,141.22
100,2,227.97,80.63,9e-06,42.78,68.999
100,3,122.23,63.767,9e-06,19.079,68.527
100,4,83.704,50.074,1e-05,11.707,36.314
100,5,76.432,59.785,1.1e-05,8.1441,44.879
100,6,60.252,40.753,6e-06,5.881,35.704
100,7,71.325,48.544,5e-06,4.6507,33.873
100,8,59.953,39.959,5e-06,4.0458,32.229
100,9,62.662,48.597,7e-06,3.4672,29.876
100,10,73.48,51.375,0.005826,5.3614,30.731
320,1,821.11,2579.2,9e-06,1008.6,324.23
320,2,269.87,80.4,1e-05,108.41,72.084
320,3,151.17,66.409,2e-05,72.423,74.462
320,4,109.17,56.564,9e-06,59.569,48.95
320,5,94.129,45.887,1.7e-05,60.803,32.892
320,6,77.186,44.077,5e-06,53.627,37.46
320,7,88.041,46.497,5e-06,43.78,43.929
320,8,78.875,39.38,9e-06,49.221,35.867
320,9,91.627,41.498,9e-06,49.57,39.418
320,10,144.43,39.371,6e-06,31.96,21.458
