30,1,85.164,3125.4,230.86,61192
30,2,42.415,777.63,48.358,4332.7
30,3,28.552,353.85,19.858,1482.9
30,4,22.036,198.8,11.432,702.69
30,5,17.754,156.51,6.4617,398.39
30,6,14.785,107.24,4.3542,259.25
30,7,12.685,79.471,3.425,178.85
30,8,11.053,57.371,2.6084,131.28
30,9,9.9039,43.943,1.9445,98.833
30,10,9.0328,36.621,1.5975,76.137
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
100,6,40.926,101.98,4.4907,1472.1
100,7,55.591,91.518,3.3503,1088.2
100,8,51.213,50.861,2.2251,1264.3
100,9,51.886,40.465,1.6373,546.48
100,10,55.075,34.942,1.4044,339.16
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
